Text	Label
"This product is amazing!"	1
"I hate this item, it's terrible."	0
"Best purchase I made this year!"	1
"This is the worst experience ever."	0
"Really enjoyed using this, highly recommend!"	1
"Not what I expected, very disappointing."	0
"It works as expected, nothing special."	0
"Not bad, but also not great."	0
"The design is cool, but it's not very useful."	0
"Some features are great, others not so much."	0
"After using this for a few weeks, I think it's okay."	0
"I wanted to love this, but I ended up returning it."	0
"This exceeded all my expectations, fantastic product!"	1
"It's fine, but I wouldn't buy it again."	0
"Absolutely horrible, I regret this purchase."	0
"This is exactly what I was looking for!"	1
"Decent quality, but overpriced."	0
"I'm really happy with this, great job!"	1
"Meh, it's just average."	0
"I can't believe how good this is!"	1
